"Disease","Read code","Medcode","Descr","Include"
"Peptic ulcer disease","14C1.00","2812.0","H/O: peptic ulcer","History of Peptic ulcer disease"
"Peptic ulcer disease","14C1.11","6321.0","H/O: duodenal ulcer","History of Peptic ulcer disease"
"Peptic ulcer disease","14C1.12","7108.0","H/O: gastric ulcer","History of Peptic ulcer disease"
"Peptic ulcer disease","7612111.0","92695.0","Balfour excision of gastric ulcer","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","7612500.0","64710.0","Resection of gastric ulcer by cautery","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","761D500","45981.0","Endoscopic injection haemostasis of duodenal ulcer","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","761D600","63718.0","Endoscopic injection haemostasis of gastric ulcer","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","761J000","20677.0","Closure of perforated gastric ulcer","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","761J100","64014.0","Closure of gastric ulcer NEC","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","761J111","70005.0","Suture of ulcer of stomach NEC","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","761J.00","23688.0","Operations on gastric ulcer","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","761J.11","6865.0","Stomach ulcer operations","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","761Jy00","94104.0","Other specified operation on gastric ulcer","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","761Jz00","33914.0","Operation on gastric ulcer NOS","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","7627000.0","4741.0","Closure of perforated duodenal ulcer","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","7627100.0","37268.0","Suture of duodenal ulcer not elsewhere classified","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","7627200.0","55350.0","Oversew of blood vessel of duodenal ulcer","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","7627.00","5928.0","Operations on duodenal ulcer","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","7627y00","56005.0","Other specified operation on duodenal ulcer","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","7627z00","55933.0","Operation on duodenal ulcer NOS","Procedure for Peptic ulcer disease"
"Peptic ulcer disease","J110000","64165.0","Acute gastric ulcer without mention of complication","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J110100","30054.0","Acute gastric ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J110111","11124.0","Bleeding acute gastric ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J110200","14671.0","Acute gastric ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J110300","71403.0","Acute gastric ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J110400","109546.0","Acute gastric ulcer with obstruction","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J110.00","24040.0","Acute gastric ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J110y00","24342.0","Acute gastric ulcer unspecified","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J110z00","44324.0","Acute gastric ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J111000","48946.0","Chronic gastric ulcer without mention of complication","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J111100","63582.0","Chronic gastric ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J111111","36583.0","Bleeding chronic gastric ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J111200","53336.0","Chronic gastric ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J111211","11104.0","Perforated chronic gastric ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J111300","71897.0","Chronic gastric ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J111400","67356.0","Chronic gastric ulcer with obstruction","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J111.00","18654.0","Chronic gastric ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J111y00","64556.0","Chronic gastric ulcer unspecified","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J111z00","44309.0","Chronic gastric ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J112.00","63001.0","Anti-platelet induced gastric ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J112z00","89227.0","Anti-platelet induced gastric ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J113.00","89023.0","Non steroidal anti inflammatory drug induced gastric ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J113z00","97993.0","Non steroidal anti inflammatory drug induced gastric ulc NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11..00","1262.0","Gastric ulcer - (GU)","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11..11","6333.0","Prepyloric ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11..12","3101.0","Pyloric ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11y000","73338.0","Unspecified gastric ulcer without mention of complication","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11y100","57958.0","Unspecified gastric ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11y200","36461.0","Unspecified gastric ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11y400","73697.0","Unspecified gastric ulcer with obstruction","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11y.00","53081.0","Unspecified gastric ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11yy00","94397.0","Unspec gastric ulcer; unspec haemorrhage and/or perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11yz00","44284.0","Unspecified gastric ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11z.00","29771.0","Gastric ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11z.11","2877.0","Gastric erosions","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J11z.12","52323.0","Multiple gastric ulcers","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J120000","44335.0","Acute duodenal ulcer without mention of complication","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J120100","18001.0","Acute duodenal ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J120200","18324.0","Acute duodenal ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J120300","48730.0","Acute duodenal ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J120400","73417.0","Acute duodenal ulcer with obstruction","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J120.00","18027.0","Acute duodenal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J120y00","53822.0","Acute duodenal ulcer unspecified","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J120z00","53797.0","Acute duodenal ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J121000","33438.0","Chronic duodenal ulcer without mention of complication","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J121100","48951.0","Chronic duodenal ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J121111","18625.0","Bleeding chronic duodenal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J121200","37643.0","Chronic duodenal ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J121211","23087.0","Perforated chronic duodenal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J121300","71881.0","Chronic duodenal ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J121400","44073.0","Chronic duodenal ulcer with obstruction","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J121.00","9853.0","Chronic duodenal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J121y00","52138.0","Chronic duodenal ulcer unspecified","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J121z00","51406.0","Chronic duodenal ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J122.00","22918.0","Duodenal ulcer disease","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J123.00","3462.0","Duodenal erosion","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J124.00","29317.0","Recurrent duodenal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J125.00","89234.0","Anti-platelet induced duodenal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J126.00","85989.0","Non steroidal anti inflammatory drug induced duodenal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J12..00","352.0","Duodenal ulcer - (DU)","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J12y000","71150.0","Unspecified duodenal ulcer without mention of complication","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J12y100","2814.0","Unspecified duodenal ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J12y200","657.0","Unspecified duodenal ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J12y300","93436.0","Unspecified duodenal ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J12y400","71904.0","Unspecified duodenal ulcer with obstruction","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J12y.00","53669.0","Unspecified duodenal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J12yy00","28366.0","Unspec duodenal ulcer; unspec haemorrhage and/or perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J12yz00","65737.0","Unspecified duodenal ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J12z.00","15175.0","Duodenal ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J130000","68661.0","Acute peptic ulcer without mention of complication","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J130100","44637.0","Acute peptic ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J130200","5521.0","Acute peptic ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J130300","45304.0","Acute peptic ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J130.00","32856.0","Acute peptic ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J130y00","67711.0","Acute peptic ulcer unspecified","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J130z00","50048.0","Acute peptic ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J131000","99430.0","Chronic peptic ulcer without mention of complication","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J131100","53126.0","Chronic peptic ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J131200","37620.0","Chronic peptic ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J131400","52313.0","Chronic peptic ulcer with obstruction","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J131.00","40997.0","Chronic peptic ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J131y00","70390.0","Chronic peptic ulcer unspecified","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J131z00","69663.0","Chronic peptic ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13..00","670.0","Peptic ulcer - (PU) site unspecified","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13..11","15821.0","Stress ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13y000","67082.0","Unspecified peptic ulcer without mention of complication","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13y100","70456.0","Unspecified peptic ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13y200","64111.0","Unspecified peptic ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13y300","96622.0","Unspecified peptic ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13y400","99670.0","Unspecified peptic ulcer with obstruction","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13y.00","50497.0","Unspecified peptic ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13yz00","60249.0","Unspecified peptic ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J13z.00","19928.0","Peptic ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J140100","96628.0","Acute gastrojejunal ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J140200","102177.0","Acute gastrojejunal ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J140300","106330.0","Acute gastrojejunal ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J140.00","45184.0","Acute gastrojejunal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J140z00","42274.0","Acute gastrojejunal ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J141300","110244.0","Chronic gastrojejunal ulcer with haemorrhage and perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J141.00","96090.0","Chronic gastrojejunal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14..00","23082.0","Gastrojejunal ulcer (GJU)","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14..11","23487.0","Anastomotic ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14..12","64913.0","Gastrocolic ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14..13","9981.0","Jejunal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14y100","60346.0","Unspecified gastrojejunal ulcer with haemorrhage","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14y200","15979.0","Unspecified gastrojejunal ulcer with perforation","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14y.00","63482.0","Unspecified gastrojejunal ulcer","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14yz00","66092.0","Unspecified gastrojejunal ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J14z.00","15403.0","Gastrojejunal ulcer NOS","Diagnosis of Peptic ulcer disease"
"Peptic ulcer disease","J17y800","18319.0","Healed gastric ulcer leaving a scar","History of Peptic ulcer disease"
"Peptic ulcer disease","ZV12711","26261.0","[V]Personal history of peptic ulcer","History of Peptic ulcer disease"
"Peptic ulcer disease","ZV12712","40489.0","[V]Personal history of duodenal ulcer","History of Peptic ulcer disease"
"Peptic ulcer disease","ZV12C00","41271.0","[V] Personal history of gastric ulcer","History of Peptic ulcer disease"
