"Disease","ICD10codes","ICD10codeDescr","Category"
"Bacterial Diseases (excl TB)","A00","Cholera","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A01","Typhoid and paratyphoid fevers","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A02","Other salmonella infections","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A03","Shigellosis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A04","Other bacterial intestinal infections","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A05","Other bacterial foodborne intoxications, not elsewhere classified","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A20","Plague","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A21","Tularaemia","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A22","Anthrax","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A23","Brucellosis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A24","Glanders and melioidosis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A25","Rat-bite fevers","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A26","Erysipeloid","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A27","Leptospirosis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A28","Other zoonotic bacterial diseases, not elsewhere classified","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A30","Leprosy [Hansen's disease]","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A31","Infection due to other mycobacteria","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A32","Listeriosis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A35","Other tetanus","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A36","Diphtheria","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A37","Whooping cough","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A38","Scarlet fever","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A39","Meningococcal infection","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A40","Streptococcal sepsis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A41.0","Sepsis due to Staphylococcus aureus","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A41.1","Sepsis due to other specified staphylococcus","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A41.2","Sepsis due to unspecified staphylococcus","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A41.3","Sepsis due to Haemophilus influenzae","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A41.4","Sepsis due to anaerobes","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A41.5","Sepsis due to other Gram-negative organisms","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A42","Actinomycosis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A43","Nocardiosis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A44","Bartonellosis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A46","Erysipelas","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A48","Other bacterial diseases, not elsewhere classified","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A49","Bacterial infection of unspecified site","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A50","Congenital syphilis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A51","Early syphilis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A52","Late syphilis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A53","Other and unspecified syphilis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A54","Gonococcal infection","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A55","Chlamydial lymphogranuloma (venereum)","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A56","Other sexually transmitted chlamydial diseases","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A57","Chancroid","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A58","Granuloma inguinale","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A65","Nonvenereal syphilis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A66","Yaws","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A67","Pinta [carate]","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A68","Relapsing fevers","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A69","Other spirochaetal infections","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A70","Chlamydia psittaci infection","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A71","Trachoma","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A74","Other diseases caused by chlamydiae","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A75","Typhus fever","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A77","Spotted fever [tick-borne rickettsioses]","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A78","Q fever","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","A79","Other rickettsioses","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","B20.1","HIV disease resulting in other bacterial infections","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","B92","Sequelae of leprosy","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","B94.0","Sequelae of trachoma","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","B95","Streptococcus and staphylococcus as the cause of diseases classified to other chapters","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","B96","Other specified bacterial agents as the cause of diseases classified to other chapters","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","B98.0","Helicobacter pylori [H.pylori] as the cause of diseases classified to other chapters","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","B98.1","Vibrio vulnificus as the cause of diseases classified to other chapters","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","G00","Bacterial meningitis, not elsewhere classified","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","G01","Meningitis in bacterial diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","G04.2","Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","G05.0","Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","H62.0","Otitis externa in bacterial diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","H67.0","Otitis media in bacterial diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","I00","Rheumatic fever without mention of heart involvement","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","I01","Rheumatic fever with heart involvement","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","I02","Rheumatic chorea","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","I05","Rheumatic mitral valve diseases","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","I06","Rheumatic aortic valve diseases","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","I07","Rheumatic tricuspid valve diseases","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","I09","Other rheumatic heart diseases","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","I32.0","Pericarditis in bacterial diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","I41.0","Myocarditis in bacterial diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","I98.0","Cardiovascular syphilis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J02.0","Streptococcal pharyngitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J03.0","Streptococcal tonsillitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J13","Pneumonia due to Streptococcus pneumoniae","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J14","Pneumonia due to Haemophilus influenzae","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J15","Bacterial pneumonia, not elsewhere classified","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J16.0","Chlamydial pneumonia","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J17.0","Pneumonia in bacterial diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J20.0","Acute bronchitis due to Mycoplasma pneumoniae","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J20.1","Acute bronchitis due to Haemophilus influenzae","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J20.2","Acute bronchitis due to streptococcus","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J34.0","Abscess, furuncle and carbuncle of nose","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J36","Peritonsillar abscess","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J39.0","Retropharyngeal and parapharyngeal abscess","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J39.1","Other abscess of pharynx","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","J86","Pyothorax","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","K61","Abscess of anal and rectal regions","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","K63.0","Abscess of intestine","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","K67.0","Chlamydial peritonitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","K67.1","Gonococcal peritonitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","L00","Staphylococcal scalded skin syndrome","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","L01","Impetigo","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","L02","Cutaneous abscess, furuncle and carbuncle","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","L03","Cellulitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","L05.0","Pilonidal cyst with abscess","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","L08.1","Erythrasma","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M00.0","Staphylococcal arthritis and polyarthritis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M00.1","Pneumococcal arthritis and polyarthritis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M00.2","Other streptococcal arthritis and polyarthritis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M00.8","Arthritis and polyarthritis due to other specified bacterial agents","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M00.9","Pyogenic arthritis, unspecified","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M01.0","Meningococcal arthritis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M01.2","Arthritis in Lyme disease","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M01.3","Arthritis in other bacterial diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M03.0","Postmeningococcal arthritis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M03.1","Postinfective arthropathy in syphilis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M49.1","Brucella spondylitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M49.2","Enterobacterial spondylitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M63.0","Myositis in bacterial diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M65.0","Abscess of tendon sheath","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M65.1","Other infective (teno)synovitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M68.0","Synovitis and tenosynovitis in bacterial diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M71.0","Abscess of bursa","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M71.1","Other infective bursitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M72.6","Necrotizing fasciitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M73.1","Syphilitic bursitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M86","Osteomyelitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M90.1","Periostitis in other infectious diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","M90.2","Osteopathy in other infectious diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N13.6","Pyonephrosis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N15.1","Renal and perinephric abscess","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N29.0","Late syphilis of kidney","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N39.0","Urinary tract infection, site not specified","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N41.0","Acute prostatitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N41.2","Abscess of prostate","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N41.3","Prostatocystitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N43.1","Infected hydrocele","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N45","Orchitis and epididymitis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N70","Salpingitis and oophoritis","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N71","Inflammatory disease of uterus, except cervix","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N72","Inflammatory disease of cervix uteri","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N73","Other female pelvic inflammatory diseases","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N74.3","Female gonococcal pelvic inflammatory disease","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N74.4","Female chlamydial pelvic inflammatory disease","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N74.8","Female pelvic inflammatory disorders in other diseases classified elsewhere","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","N75.1","Abscess of Bartholin's gland","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","P23.1","Congenital pneumonia due to Chlamydia","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","P23.2","Congenital pneumonia due to staphylococcus","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","P23.3","Congenital pneumonia due to streptococcus, group B","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","P23.4","Congenital pneumonia due to Escherichia coli","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","P23.5","Congenital pneumonia due to Pseudomonas","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","P23.6","Congenital pneumonia due to other bacterial agents","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","P36","Bacterial sepsis of newborn","Diagnosis of Bacterial Diseases (excl TB)"
"Bacterial Diseases (excl TB)","P37.2","Neonatal (disseminated) listeriosis","Diagnosis of Bacterial Diseases (excl TB)"
