Disease,Readcode,Medcode,ReadcodeDescr,Category
Multiple myeloma and malignant plasma cell neoplasms,B630000,22158.0,"Malignant plasma cell neoplasm, extramedullary plasmacytoma",Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B630100,19028.0,Solitary myeloma,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B630200,21329.0,Plasmacytoma NOS,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B630300,46042.0,Lambda light chain myeloma,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B630400,104418.0,Solitary plasmacytoma,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B630.00,4944.0,Multiple myeloma,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B630.11,43552.0,Kahler's disease,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B630.12,15211.0,Myelomatosis,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B631.00,39187.0,Plasma cell leukaemia,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B63..00,37182.0,Multiple myeloma and immunoproliferative neoplasms,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B63z.00,43450.0,Immunoproliferative neoplasm or myeloma NOS,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B936.11,43312.0,Myeloma - solitary,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,B936.12,38321.0,Plasmacytoma NOS,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBm6.00,26135.0,[M] Alpha heavy chain disease,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBmE.00,52593.0,[M] Gamma heavy chain disease,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBmK.00,9172.0,[M]Waldenstrom's macroglobulinaemia,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBn0.00,31671.0,[M]Plasma cell myeloma,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBn0.11,18744.0,[M]Multiple myeloma,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBn0.12,3672.0,[M]Myeloma NOS,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBn0.13,53647.0,[M]Myelomatosis,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBn0.14,39490.0,[M]Plasmacytic myeloma,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBn2.00,63864.0,[M]Plasmacytoma NOS,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBn2.11,102164.0,[M]Monostotic myeloma,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBn2.12,73135.0,[M]Solitary myeloma,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBn3.00,99702.0,"[M]Plasma cell tumour, malignant",Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBn..00,43459.0,[M]Plasma cell tumours,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBnz.00,64068.0,[M]Plasma cell tumour NOS,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBr3.00,64618.0,[M]Plasma cell leukaemias,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,BBr3z00,110349.0,[M]Plasma cell leukaemia NOS,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,C333000,10411.0,Waldenstrom's macroglobulinaemia,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,C333011,108235.0,Waldenstrom macroglobulinaemia,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,C333100,101350.0,Alpha heavy chain disease,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,C333200,99067.0,Gamma heavy chain disease,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,C333300,108102.0,Heavy chain disease,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,C333.00,16527.0,Macroglobulinaemia,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
Multiple myeloma and malignant plasma cell neoplasms,C333z00,71994.0,Macroglobulinaemia NOS,Diagnosis of Multiple myeloma and malignant plasma cell neoplasms
