Disease,ICD10codes,ICD10codeDescr,Category
Infections of Other or unspecified organs,A02.2,Localized salmonella infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A02.8,Other specified salmonella infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A02.9,"Salmonella infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A06.8,Amoebic infection of other sites,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A06.9,"Amoebiasis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A18.7,Tuberculosis of adrenal glands,Diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A18.8,Tuberculosis of other specified organs,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A19,Miliary tuberculosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A20.8,Other forms of plague,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A20.9,"Plague, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A21.7,Generalised tularaemia,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A21.8,Other forms of tularaemia,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A21.9,"Tularaemia, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A22.8,Other forms of anthrax,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A22.9,"Anthrax, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A23,Brucellosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A24,Glanders and melioidosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A25,Rat-bite fevers,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A26.8,Other forms of erysipeloid,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A26.9,"Erysipeloid, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A27,Leptospirosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A28,"Other zoonotic bacterial diseases, not elsewhere classified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A30,Leprosy [Hansen's disease],Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A31.8,Other mycobacterial infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A31.9,"Mycobacterial infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A32.8,Other forms of listeriosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A32.9,"Listeriosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A35,Other tetanus,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A36.8,Other diphtheria,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A36.9,"Diphtheria, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A38,Scarlet fever,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A39.8,Other meningococcal infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A39.9,"Meningococcal infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A42.1,Abdominal actinomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A42.2,Cervicofacial actinomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A42.8,Other forms of actinomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A42.9,"Actinomycosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A43.8,Other forms of nocardiosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A43.9,"Nocardiosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A44,Bartonellosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A48,"Other bacterial diseases, not elsewhere classified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A49,Bacterial infection of unspecified site,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A50,Congenital syphilis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A51.2,Primary syphilis of other sites,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A51.4,Other secondary syphilis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A51.5,"Early syphilis, latent",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A51.9,"Early syphilis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A52.7,Other symptomatic late syphilis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A52.8,"Late syphilis, latent",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A52.9,"Late syphilis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A53,Other and unspecified syphilis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A54.8,Other gonococcal infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A54.9,"Gonococcal infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A56.8,Sexually transmitted chlamydial infection of other sites,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A59.8,Trichomoniasis of other sites,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A59.9,"Trichomoniasis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A63.8,Other specified predominantly sexually transmitted diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A64,Unspecified sexually transmitted disease,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A65,Nonvenereal syphilis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A66,Yaws,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A67,Pinta [carate],Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A68,Relapsing fevers,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A69,Other spirochaetal infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A70,Chlamydia psittaci infection,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A74.8,Other chlamydial diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A74.9,"Chlamydial infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A75,Typhus fever,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A77,Spotted fever [tick-borne rickettsioses],Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A78,Q fever,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A79,Other rickettsioses,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A90,Dengue fever [classical dengue],Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A91,Dengue haemorrhagic fever,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A92,Other mosquito-borne viral fevers,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A93,"Other arthropod-borne viral fevers, not elsewhere classified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A94,Unspecified arthropod-borne viral fever,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A95,Yellow fever,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A96,Arenaviral haemorrhagic fever,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A98,"Other viral haemorrhagic fevers, not elsewhere classified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,A99,Unspecified viral haemorrhagic fever,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B00.2,Herpesviral gingivostomatitis and pharyngotonsillitis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B00.7,Disseminated herpesviral disease,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B00.8,Other forms of herpesviral infection,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B00.9,"Herpesviral infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B01.8,Varicella with other complications,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B01.9,Varicella without complication,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B02.7,Disseminated zoster,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B02.8,Zoster with other complications,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B02.9,Zoster without complication,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B05.8,Measles with other complications,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B05.9,Measles without complication,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B06.8,Rubella with other complications,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B06.9,Rubella without complication,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B24,Unspecified human immunodeficiency virus [HIV] disease,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B25.2,Cytomegaloviral pancreatitis,Diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B25.8,Other cytomegaloviral diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B25.9,"Cytomegaloviral disease, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B26.8,Mumps with other complications,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B26.9,Mumps without complication,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B33.0,Epidemic myalgia,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B33.1,Ross River disease,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B33.3,"Retrovirus infections, not elsewhere classified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B33.4,Hantavirus (cardio-)pulmonary syndrome,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B33.8,Other specified viral diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B34,Viral infection of unspecified site,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B37.0,Candidal stomatitis,Diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B37.8,Candidiasis of other sites,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B37.9,"Candidiasis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B38.7,Disseminated coccidioidomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B38.8,Other forms of coccidioidomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B38.9,"Coccidioidomycosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B39.3,Disseminated histoplasmosis capsulati,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B39.4,"Histoplasmosis capsulati, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B39.5,Histoplasmosis duboisii,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B39.9,"Histoplasmosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B40.7,Disseminated blastomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B40.8,Other forms of blastomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B40.9,"Blastomycosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B41.7,Disseminated paracoccidioidomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B41.8,Other forms of paracoccidioidomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B41.9,"Paracoccidioidomycosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B42.7,Disseminated sporotrichosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B42.8,Other forms of sporotrichosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B42.9,"Sporotrichosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B43.8,Other forms of chromomycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B43.9,"Chromomycosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B44.7,Disseminated aspergillosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B44.8,Other forms of aspergillosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B44.9,"Aspergillosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B45.7,Disseminated cryptococcosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B45.8,Other forms of cryptococcosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B45.9,"Cryptococcosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B46.1,Rhinocerebral mucormycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B46.4,Disseminated mucormycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B46.5,"Mucormycosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B46.8,Other zygomycoses,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B46.9,"Zygomycosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B47.0,Eumycetoma,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B47.1,Actinomycetoma,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B47.9,"Mycetoma, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B48,"Other mycoses, not elsewhere classified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B49,Unspecified mycosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B50.8,Other severe and complicated Plasmodium falciparum malaria,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B50.9,"Plasmodium falciparum malaria, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B51,Plasmodium vivax malaria,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B52,Plasmodium malariae malaria,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B53,Other parasitologically confirmed malaria,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B54,Unspecified malaria,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B55.0,Visceral leishmaniasis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B55.2,Mucocutaneous leishmaniasis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B55.9,"Leishmaniasis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B57,Chagas' disease,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B58.8,Toxoplasmosis with other organ involvement,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B58.9,"Toxoplasmosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B60,"Other protozoal diseases, not elsewhere classified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B64,Unspecified protozoal disease,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B65,Schistosomiasis [bilharziasis],Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B66,Other fluke infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B67.3,"Echinococcus granulosus infection, other and multiple sites",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B67.4,"Echinococcus granulosus infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B67.6,"Echinococcus multilocularis infection, other and multiple sites",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B67.7,"Echinococcus multilocularis infection, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B67.9,"Echinococcosis, other and unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B68,Taeniasis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B69.8,Cysticercosis of other sites,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B69.9,"Cysticercosis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B70,Diphyllobothriasis and sparganosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B71,Other cestode infections,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B72,Dracunculiasis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B73,Onchocerciasis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B74,Filariasis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B75,Trichinellosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B76,Hookworm diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B77,Ascariasis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B78.7,Disseminated strongyloidiasis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B78.9,"Strongyloidiasis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B79,Trichuriasis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B80,Enterobiasis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B83,Other helminthiases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B87.8,Myiasis of other sites,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B87.9,"Myiasis, unspecified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B89,Unspecified parasitic disease,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B90.8,Sequelae of tuberculosis of other organs,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B90.9,Sequelae of respiratory and unspecified tuberculosis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B92,Sequelae of leprosy,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B94.8,Sequelae of other specified infectious and parasitic diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B94.9,Sequelae of unspecified infectious or parasitic disease,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B96,Other specified bacterial agents as the cause of diseases classified to other chapters,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B97,Viral agents as the cause of diseases classified to other chapters,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B98.1,Vibrio vulnificus as the cause of diseases classified to other chapters,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,B99,Other and unspecified infectious diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,G04.1,Tropical spastic paraplegia,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,G53.0,Postzoster neuralgia,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,G53.1,Multiple cranial nerve palsies in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,G63.0,Polyneuropathy in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,G94.0,Hydrocephalus in infectious and parasitic diseases classified elsewhere,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,J09,Influenza due to identified avian influenza virus,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,J10.1,"Influenza with other respiratory manifestations, other influenza virus identified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,J10.8,"Influenza with other manifestations, other influenza virus identified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,J11.1,"Influenza with other respiratory manifestations, virus not identified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,J11.8,"Influenza with other manifestations, virus not identified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,J37,Chronic laryngitis and laryngotracheitis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,J85.3,Abscess of mediastinum,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,M60.0,Infective myositis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,M63.0,Myositis in bacterial diseases classified elsewhere,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,M63.2,Myositis in other infectious diseases classified elsewhere,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,M65.0,Abscess of tendon sheath,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,M65.1,Other infective (teno)synovitis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,M68.0,Synovitis and tenosynovitis in bacterial diseases classified elsewhere,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,M71.0,Abscess of bursa,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,M71.1,Other infective bursitis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,M72.6,Necrotizing fasciitis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,M73.1,Syphilitic bursitis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,P35,Congenital viral diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,P37,Other congenital infectious and parasitic diseases,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,P39.0,Neonatal infective mastitis,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,P39.2,"Intra-amniotic infection of fetus, not elsewhere classified",Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,P39.8,Other specified infections specific to the perinatal period,Possible diagnosis of Infections of Other or unspecified organs
Infections of Other or unspecified organs,P39.9,"Infection specific to the perinatal period, unspecified",Possible diagnosis of Infections of Other or unspecified organs