Disease,OPCS4code,OPCS4codeDescr,Category
Peripheral arterial disease,L50,Other emergency bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L50.1,Emergency bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.2,Emergency bypass of iliac artery by anastomosis of aorta to external iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.3,Emergency bypass of artery of leg by anastomosis of aorta to common femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.4,Emergency bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.5,Emergency bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.6,Emergency bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L50.8,Other specified other emergency bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L50.9,Unspecified other emergency bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L51,Other bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L51.1,Bypass of common iliac artery by anastomosis of aorta to common iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.2,Bypass of iliac artery by anastomosis of aorta to external iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.3,Bypass of artery of leg by anastomosis of aorta to common femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.4,Bypass of artery of leg by anastomosis of aorta to deep femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.5,Bypass of iliac artery by anastomosis of iliac artery to iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.6,Bypass of artery of leg by anastomosis of iliac artery to femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L51.8,Other specified other bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L51.9,Unspecified other bypass of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L52,Reconstruction of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L52.1,Endarterectomy of iliac artery and patch repair of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L52.2,Endarterectomy of iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L52.8,Other specified reconstruction of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L52.9,Unspecified reconstruction of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L53,Other open operations on iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L53.1,Repair of iliac artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L53.2,Open embolectomy of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L54.1,Percutaneous transluminal angioplasty of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L54.2,Percutaneous transluminal embolectomy of iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L54.4,Percutaneous transluminal insertion of stent into iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L54.8,Other specified transluminal operations on iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L54.9,Unspecified transluminal operations on iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L58,Other emergency bypass of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L58.1,Emergency bypass of femoral artery by anastomosis of femoral artery to femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L58.2,Emergency bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis NEC,PAD procedure performed (3)
Peripheral arterial disease,L58.3,Emergency bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft NEC,PAD procedure performed (3)
Peripheral arterial disease,L58.4,Emergency bypass of femoral artery by anastomosis of femoral artery to tibial artery using prosthesis NEC,PAD procedure performed (3)
Peripheral arterial disease,L58.5,Emergency bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC,PAD procedure performed (3)
Peripheral arterial disease,L58.6,Emergency bypass of femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis NEC,PAD procedure performed (3)
Peripheral arterial disease,L58.7,Emergency bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft NEC,PAD procedure performed (3)
Peripheral arterial disease,L58.8,Other specified other emergency bypass of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L58.9,Unspecified other emergency bypass of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L59,Other bypass of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L59.1,Bypass of femoral artery by anastomosis of femoral artery to femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L59.2,Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using prosthesis NEC,PAD procedure performed (3)
Peripheral arterial disease,L59.3,Bypass of femoral artery by anastomosis of femoral artery to popliteal artery using vein graft NEC,PAD procedure performed (3)
Peripheral arterial disease,L59.4,Bypass of femoral artery by anastomosis of femoral artery to tibial artery using prosthesis NEC,PAD procedure performed (3)
Peripheral arterial disease,L59.5,Bypass of femoral artery by anastomosis of femoral artery to tibial artery using vein graft NEC,PAD procedure performed (3)
Peripheral arterial disease,L59.6,Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using prosthesis NEC,PAD procedure performed (3)
Peripheral arterial disease,L59.7,Bypass of femoral artery by anastomosis of femoral artery to peroneal artery using vein graft NEC,PAD procedure performed (3)
Peripheral arterial disease,L59.8,Other specified other bypass of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L59.9,Unspecified other bypass of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L60,Reconstruction of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L60.1,Endarterectomy of femoral artery and patch repair of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L60.2,Endarterectomy of femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L60.3,Profundoplasty of femoral artery and patch repair of deep femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L60.4,Profundoplasty of femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L60.8,Other specified reconstruction of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L60.9,Unspecified reconstruction of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L62,Other open operations on femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L62.1,Repair of femoral artery NEC,PAD procedure performed (3)
Peripheral arterial disease,L62.2,Open embolectomy of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L62.8,Other specified other open operations on femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L62.9,Unspecified other open operations on femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L63.1,Percutaneous transluminal angioplasty of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L63.2,Percutaneous transluminal embolectomy of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L63.3,Percutaneous transluminal embolisation of femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L63.5,Percutaneous transluminal insertion of stent into femoral artery,PAD procedure performed (3)
Peripheral arterial disease,L65,Revision of reconstruction of artery,PAD procedure performed (3)
Peripheral arterial disease,L65.1,Revision of reconstruction involving aorta,PAD procedure performed (3)
Peripheral arterial disease,L65.2,Revision of reconstruction involving iliac artery,PAD procedure performed (3)
Peripheral arterial disease,L65.3,Revision of reconstruction involving femoral artery,PAD procedure performed (3)
